PROBLEM TYPE NAME,PROBLEM,ADDITIONAL INFO,SOLUTION,ACTUAL PROBLEM,SUPPORT TYPE,SOLVED COMMENT,combined_text,cleaned_combined_text
Accounts Related Issue,Query about Packages..,Not provided,Advance payment query,Query about Packages,Phone Support,Not available,Accounts Related Issue Query about Packages.. Query about Packages Phone Support Not provided Not available,account related issue query packages.. query package phone support provided available
No Internet Connection (FTTH),ONU status offline..,Offline., Pole shifting/road expansion completed, now wire managed.,ONU status offline,Phone Support CSR,No Internet Connection (FTTH) ONU status offline..  now wire managed. ONU status offline Offline. Phone Support CSR,internet connection (ftth) onu status offline.. wire managed. onu status offline offline. phone support csr
Accounts Related Issue,Account Status Query..,Not provided,Informed user to visit branch	,Account Status Query,Phone Support,close,Accounts Related Issue Account Status Query.. Account Status Query Phone Support Not provided close,account related issue account status query.. account status query phone support provided close
Accounts Related Issue,Client wants Discount...,Not provided,Discount not provided.,Client wants Discount.,Desk Support,paid,Accounts Related Issue Client wants Discount... Client wants Discount. Desk Support Not provided paid,account related issue client want discount... client want discount. desk support provided paid
Slow Internet Connection (FTTH),Low power level recorded [< -2..,optical power level is low(-26 dbm)please do need#l asap,Power level managed,Low power level recorded [< -26 dbm],Phone Support,Not available,Slow Internet Connection (FTTH) Low power level recorded [< -2.. Low power level recorded [< -26 dbm] Phone Support optical power level is low(-26 dbm)please do need#l asap Not available,slow internet connection (ftth) low power level recorded [< -2.. low power level recorded [< -26 dbm] phone support optical power level low(-26 dbm)please need#l asap available
Slow Internet Connection (FTTH),Low power level recorded [< -2..,optical power level is low(-26 dbm)please do need#l asap,Power level managed,Low power level recorded [< -26 dbm],Phone Support,Not available,Slow Internet Connection (FTTH) Low power level recorded [< -2.. Low power level recorded [< -26 dbm] Phone Support optical power level is low(-26 dbm)please do need#l asap Not available,slow internet connection (ftth) low power level recorded [< -2.. low power level recorded [< -26 dbm] phone support optical power level low(-26 dbm)please need#l asap available
No Internet Connection (FTTH),ONU status offline..,Not provided,Fiber Cable Changed ,ONU status offline,Phone Support,Not available,No Internet Connection (FTTH) ONU status offline.. ONU status offline Phone Support Not provided Not available,internet connection (ftth) onu status offline.. onu status offline phone support provided available
Accounts Related Issue,Query about Compensation..,Not provided,Issued task ticket to Retail Customer Care Unit,Query about Compensation,Phone Support,on process  ,Accounts Related Issue Query about Compensation.. Query about Compensation Phone Support Not provided on process  ,account related issue query compensation.. query compensation phone support provided process
Accounts Related Issue,Query about Compensation..,Not provided,Issued task ticket to Retail Customer Care Unit,Query about Compensation,Phone Support,on process  ,Accounts Related Issue Query about Compensation.. Query about Compensation Phone Support Not provided on process  ,account related issue query compensation.. query compensation phone support provided process
Accounts Related Issue,Query about Compensation..,Not provided,Issued task ticket to Retail Customer Care Unit,Query about Compensation,Phone Support,on process  ,Accounts Related Issue Query about Compensation.. Query about Compensation Phone Support Not provided on process  ,account related issue query compensation.. query compensation phone support provided process
Accounts Related Issue,Query about Compensation..,Not provided,Issued task ticket to Retail Customer Care Unit,Query about Compensation,Phone Support,on process  ,Accounts Related Issue Query about Compensation.. Query about Compensation Phone Support Not provided on process  ,account related issue query compensation.. query compensation phone support provided process
IPTV Related Issues,Error Code 1598:No internet co..,Not provided,STB rebooted.Now working,Error Code 1598:No internet connection,Phone Support,Not available,IPTV Related Issues Error Code 1598:No internet co.. Error Code 1598:No internet connection Phone Support Not provided Not available,iptv related issue error code 1598:no internet co.. error code 1598:no internet connection phone support provided available
Slow Internet Connection (FTTH),User connected beyond at 5Ghz ..,Not provided,Installed Beacon router.,User connected beyond at 5Ghz coverage,Phone Support,Not available,Slow Internet Connection (FTTH) User connected beyond at 5Ghz .. User connected beyond at 5Ghz coverage Phone Support Not provided Not available,slow internet connection (ftth) user connected beyond 5ghz .. user connected beyond 5ghz coverage phone support provided available
Accounts Related Issue,Account extend request..,Not provided,Complimentary Account.,Account extend request,Desk Support,Not available,Accounts Related Issue Account extend request.. Account extend request Desk Support Not provided Not available,account related issue account extend request.. account extend request desk support provided available
Accounts Related Issue,Client wants Discount...,Not provided,Discount Provided.,Client wants Discount.,Desk Support,already done,Accounts Related Issue Client wants Discount... Client wants Discount. Desk Support Not provided already done,account related issue client want discount... client want discount. desk support provided already done
No Internet Connection (FTTH),ONU status offline..,Not provided,User working automatically,ONU status offline,Phone Support,Not available,No Internet Connection (FTTH) ONU status offline.. ONU status offline Phone Support Not provided Not available,internet connection (ftth) onu status offline.. onu status offline phone support provided available
No Internet Connection (FTTH),ONU status offline..,Offline.,User working automatically,ONU status offline,Phone Support,Not available,No Internet Connection (FTTH) ONU status offline.. ONU status offline Phone Support Offline. Not available,internet connection (ftth) onu status offline.. onu status offline phone support offline. available
Slow Internet Connection (FTTH),Low power level recorded [< -2..,optical power level is low(-26 dbm)please do need#l asap,Fiber cable changed ,Low power level recorded [< -26 dbm],Phone Support,.,Slow Internet Connection (FTTH) Low power level recorded [< -2.. Low power level recorded [< -26 dbm] Phone Support optical power level is low(-26 dbm)please do need#l asap .,slow internet connection (ftth) low power level recorded [< -2.. low power level recorded [< -26 dbm] phone support optical power level low(-26 dbm)please need#l asap .
No Internet Connection (FTTH),ONU status offline..,Not provided,Bending loss on drop wire. Drop wire managed.,ONU status offline,Phone Support,Not available,No Internet Connection (FTTH) ONU status offline.. ONU status offline Phone Support Not provided Not available,internet connection (ftth) onu status offline.. onu status offline phone support provided available
No Internet Connection (FTTH),ONU status offline..,Offline.,Bending loss on drop wire. Drop wire managed.,ONU status offline,Phone Support,.,No Internet Connection (FTTH) ONU status offline.. ONU status offline Phone Support Offline. .,internet connection (ftth) onu status offline.. onu status offline phone support offline. .
No Internet Connection (FTTH),ONU status offline..,Offline.,Adaptor changed,ONU status offline,Phone Support,Not available,No Internet Connection (FTTH) ONU status offline.. ONU status offline Phone Support Offline. Not available,internet connection (ftth) onu status offline.. onu status offline phone support offline. available
Accounts Related Issue,Account Status Query..,Not provided,Account Adjusted.,Account Status Query,Desk Support,Not available,Accounts Related Issue Account Status Query.. Account Status Query Desk Support Not provided Not available,account related issue account status query.. account status query desk support provided available
General Inquiry,Technical Query..,Not provided,Provided required information about bridging.,Technical Query,Desk Support,Not available,General Inquiry Technical Query.. Technical Query Desk Support Not provided Not available,general inquiry technical query.. technical query desk support provided available
Accounts Related Issue,Query about Packages..,Not provided,Plan shifted to special BTL	,Query about Packages,Desk Support,Not available,Accounts Related Issue Query about Packages.. Query about Packages Desk Support Not provided Not available,account related issue query packages.. query package desk support provided available
General Inquiry,Manage cable..,Not provided,Shifted router from one floor to another.,Manage cable,Follow Up,Not available,General Inquiry Manage cable.. Manage cable Follow Up Not provided Not available,general inquiry manage cable.. manage cable follow provided available
Accounts Related Issue,Payment Query..,Not provided,Guided branch office location.,Payment Query,Phone Support,done,Accounts Related Issue Payment Query.. Payment Query Phone Support Not provided done,account related issue payment query.. payment query phone support provided done
Accounts Related Issue,Payment Query..,Not provided,Guided branch office location.,Payment Query,Phone Support,dine,Accounts Related Issue Payment Query.. Payment Query Phone Support Not provided dine,account related issue payment query.. payment query phone support provided dine
Accounts Related Issue,Payment Query..,Not provided,Guided branch office location.,Payment Query,Phone Support,done,Accounts Related Issue Payment Query.. Payment Query Phone Support Not provided done,account related issue payment query.. payment query phone support provided done
General Inquiry,Client wants to upgrade to 5G ..,Not provided,Client already had Dual Band Router,Client wants to upgrade to 5G plan,Phone Support,Not available,General Inquiry Client wants to upgrade to 5G .. Client wants to upgrade to 5G plan Phone Support Not provided Not available,general inquiry client want upgrade 5g .. client want upgrade 5g plan phone support provided available
Accounts Related Issue,Query regarding Service Termin..,Not provided,TT issued to concerned,Query regarding Service Termination,Desk Support,uninstalled done already,Accounts Related Issue Query regarding Service Termin.. Query regarding Service Termination Desk Support Not provided uninstalled done already,account related issue query regarding service termin.. query regarding service termination desk support provided uninstalled done already
Accounts Related Issue,Query regarding Service Termin..,Not provided,TT issued to concerned,Query regarding Service Termination,Desk Support,Not available,Accounts Related Issue Query regarding Service Termin.. Query regarding Service Termination Desk Support Not provided Not available,account related issue query regarding service termin.. query regarding service termination desk support provided available
Accounts Related Issue,Query regarding Service Termin..,Not provided,TT issued to concerned,Query regarding Service Termination,Desk Support,already uninstalled,Accounts Related Issue Query regarding Service Termin.. Query regarding Service Termination Desk Support Not provided already uninstalled,account related issue query regarding service termin.. query regarding service termination desk support provided already uninstalled
Accounts Related Issue,Query regarding Service Termin..,Not provided,TT issued to concerned,Query regarding Service Termination,Phone Support,Not available,Accounts Related Issue Query regarding Service Termin.. Query regarding Service Termination Phone Support Not provided Not available,account related issue query regarding service termin.. query regarding service termination phone support provided available
No Internet Connection (FTTH),No users online in Distributio..,Not provided,Offline due to power outage.,No users online in Distribution/GPON,Phone Support,Not available,No Internet Connection (FTTH) No users online in Distributio.. No users online in Distribution/GPON Phone Support Not provided Not available,internet connection (ftth) user online distributio.. user online distribution/gpon phone support provided available
No Internet Connection (FTTH),Disconnection problem..,Not provided,Re-initialization done,Disconnection problem,Phone Support,Not available,No Internet Connection (FTTH) Disconnection problem.. Disconnection problem Phone Support Not provided Not available,internet connection (ftth) disconnection problem.. disconnection problem phone support provided available
Slow Internet Connection (FTTH),Low power level recorded [< -2..,optical power level is low(-26 dbm)please do need#l asap,Fiber cable managed ,Low power level recorded [< -26 dbm],Phone Support,Not available,Slow Internet Connection (FTTH) Low power level recorded [< -2.. Low power level recorded [< -26 dbm] Phone Support optical power level is low(-26 dbm)please do need#l asap Not available,slow internet connection (ftth) low power level recorded [< -2.. low power level recorded [< -26 dbm] phone support optical power level low(-26 dbm)please need#l asap available
Slow Internet Connection (FTTH),Low power level recorded [< -2..,optical power level is low(-26 dbm)please do need#l asap,Fiber cable managed ,Low power level recorded [< -26 dbm],Phone Support,Not available,Slow Internet Connection (FTTH) Low power level recorded [< -2.. Low power level recorded [< -26 dbm] Phone Support optical power level is low(-26 dbm)please do need#l asap Not available,slow internet connection (ftth) low power level recorded [< -2.. low power level recorded [< -26 dbm] phone support optical power level low(-26 dbm)please need#l asap available
Slow Internet Connection (FTTH),Low power level recorded [< -2..,optical power level is low(-26 dbm)please do need#l asap,Fiber cable managed ,Low power level recorded [< -26 dbm],Phone Support,Not available,Slow Internet Connection (FTTH) Low power level recorded [< -2.. Low power level recorded [< -26 dbm] Phone Support optical power level is low(-26 dbm)please do need#l asap Not available,slow internet connection (ftth) low power level recorded [< -2.. low power level recorded [< -26 dbm] phone support optical power level low(-26 dbm)please need#l asap available
Accounts Related Issue,Account Status Query..,Not provided,Account Renewed.,Account Status Query,Desk Support,Not available,Accounts Related Issue Account Status Query.. Account Status Query Desk Support Not provided Not available,account related issue account status query.. account status query desk support provided available
Accounts Related Issue,Account extend request..,Not provided,Account extended,Account extend request,Phone Support,done,Accounts Related Issue Account extend request.. Account extend request Phone Support Not provided done,account related issue account extend request.. account extend request phone support provided done
Accounts Related Issue,Account Disabled..,Not provided,Call transferred to Accounts,Account Disabled,Phone Support,close,Accounts Related Issue Account Disabled.. Account Disabled Phone Support Not provided close,account related issue account disabled.. account disabled phone support provided close
General Inquiry,Need to replace beacon..,Not provided,Beacon replaced,Need to replace beacon,Phone Support,Not available,General Inquiry Need to replace beacon.. Need to replace beacon Phone Support Not provided Not available,general inquiry need replace beacon.. need replace beacon phone support provided available
Accounts Related Issue,Payment Query..,Not provided,Informed client about the Days remaining,Payment Query,Desk Support,mistakenly opened,Accounts Related Issue Payment Query.. Payment Query Desk Support Not provided mistakenly opened,account related issue payment query.. payment query desk support provided mistakenly opened
Accounts Related Issue,Query about Packages..,Not provided,Same month payment query,Query about Packages,Follow Up,Not available,Accounts Related Issue Query about Packages.. Query about Packages Follow Up Not provided Not available,account related issue query packages.. query package follow provided available
Accounts Related Issue,Query about Packages..,Not provided,Same month payment query,Query about Packages,Follow Up,Not available,Accounts Related Issue Query about Packages.. Query about Packages Follow Up Not provided Not available,account related issue query packages.. query package follow provided available
General Inquiry,Client is interested for Beaco..,Client wants Trial Beacon,Trial Beacon installed. ,Client is interested for Beacon Trial.,Phone Support,Not available,General Inquiry Client is interested for Beaco.. Client is interested for Beacon Trial. Phone Support Client wants Trial Beacon Not available,general inquiry client interested beaco.. client interested beacon trial. phone support client want trial beacon available
General Inquiry,Client is interested for Beaco..,Client wants Trial Beacon,Trial Beacon installed. ,Client is interested for Beacon Trial.,Phone Support,Not available,General Inquiry Client is interested for Beaco.. Client is interested for Beacon Trial. Phone Support Client wants Trial Beacon Not available,general inquiry client interested beaco.. client interested beacon trial. phone support client want trial beacon available
General Inquiry,Client is interested for Beaco..,Client wants Trial Beacon,Trial Beacon installed. ,Client is interested for Beacon Trial.,Desk Support,package change,General Inquiry Client is interested for Beaco.. Client is interested for Beacon Trial. Desk Support Client wants Trial Beacon package change,general inquiry client interested beaco.. client interested beacon trial. desk support client want trial beacon package change
General Inquiry,Client is interested for Beaco..,Client wants Trial Beacon,Trial Beacon installed. ,Client is interested for Beacon Trial.,Desk Support,few days,General Inquiry Client is interested for Beaco.. Client is interested for Beacon Trial. Desk Support Client wants Trial Beacon few days,general inquiry client interested beaco.. client interested beacon trial. desk support client want trial beacon day
No Internet Connection (FTTH),ONU status offline..,Not provided,ONU router was switched off. Now switched on. ,ONU status offline,Phone Support,old tt closed.,No Internet Connection (FTTH) ONU status offline.. ONU status offline Phone Support Not provided old tt closed.,internet connection (ftth) onu status offline.. onu status offline phone support provided old tt closed.
No Internet Connection (FTTH),Username Not Mapped in OLT..,Not provided,Remapping done,Username Not Mapped in OLT,Phone Support,Not available,No Internet Connection (FTTH) Username Not Mapped in OLT.. Username Not Mapped in OLT Phone Support Not provided Not available,internet connection (ftth) username mapped olt.. username mapped olt phone support provided available
Hotspot Related Issues (WiFi Project),IgniteNet Status Offline..,Not provided,Ignitenet resetted ,IgniteNet Status Offline,Phone Support,Not available,Hotspot Related Issues (WiFi Project) IgniteNet Status Offline.. IgniteNet Status Offline Phone Support Not provided Not available,hotspot related issue (wifi project) ignitenet status offline.. ignitenet status offline phone support provided available
IPTV Related Issues,Error Code 1598:No internet co..,Not provided,Ethernet plugged into the ONU/STB.,Error Code 1598:No internet connection,Phone Support,Not available,IPTV Related Issues Error Code 1598:No internet co.. Error Code 1598:No internet connection Phone Support Not provided Not available,iptv related issue error code 1598:no internet co.. error code 1598:no internet connection phone support provided available
Accounts Related Issue,Query about Packages..,Not provided,Amount Related Query,Query about Packages,Desk Support,done,Accounts Related Issue Query about Packages.. Query about Packages Desk Support Not provided done,account related issue query packages.. query package desk support provided done
Slow Internet Connection (FTTH),Low power level recorded [< -2..,optical power level is low(-26 dbm)please do need#l asap,Splicing done using 2mm fiber holder,Low power level recorded [< -26 dbm],Phone Support,Not available,Slow Internet Connection (FTTH) Low power level recorded [< -2.. Low power level recorded [< -26 dbm] Phone Support optical power level is low(-26 dbm)please do need#l asap Not available,slow internet connection (ftth) low power level recorded [< -2.. low power level recorded [< -26 dbm] phone support optical power level low(-26 dbm)please need#l asap available
Accounts Related Issue,Query about Packages..,Not provided,Package downgrade query,Query about Packages,Desk Support,already paid,Accounts Related Issue Query about Packages.. Query about Packages Desk Support Not provided already paid,account related issue query packages.. query package desk support provided already paid
Accounts Related Issue,Query about Packages..,Not provided,Package downgrade query,Query about Packages,Desk Support,paid,Accounts Related Issue Query about Packages.. Query about Packages Desk Support Not provided paid,account related issue query packages.. query package desk support provided paid
Accounts Related Issue,Query about Packages..,Not provided,Package downgrade query,Query about Packages,Desk Support,paid amount,Accounts Related Issue Query about Packages.. Query about Packages Desk Support Not provided paid amount,account related issue query packages.. query package desk support provided paid amount
Accounts Related Issue,Query about Packages..,Not provided,Package downgrade query,Query about Packages,Desk Support,already paid,Accounts Related Issue Query about Packages.. Query about Packages Desk Support Not provided already paid,account related issue query packages.. query package desk support provided already paid
Hotspot Related Issues (WiFi Project),Scheduled audit (Follow Up)..,Not provided,Trouble found and solved via phone,Scheduled audit (Follow Up),Phone Support,Not available,Hotspot Related Issues (WiFi Project) Scheduled audit (Follow Up).. Scheduled audit (Follow Up) Phone Support Not provided Not available,hotspot related issue (wifi project) scheduled audit (follow up).. scheduled audit (follow up) phone support provided available
Hotspot Related Issues (WiFi Project),Scheduled audit (Follow Up)..,Not provided,Trouble found and solved via phone,Scheduled audit (Follow Up),Phone Support,Not available,Hotspot Related Issues (WiFi Project) Scheduled audit (Follow Up).. Scheduled audit (Follow Up) Phone Support Not provided Not available,hotspot related issue (wifi project) scheduled audit (follow up).. scheduled audit (follow up) phone support provided available
Accounts Related Issue,Payment Query..,Not provided,Amount Related Query,Unknown,Unknown,Not available,Accounts Related Issue Payment Query.. Unknown Unknown Not provided Not available,account related issue payment query.. unknown unknown provided available
Unknown,Unknown,Not provided,Not available,Unknown,Unknown,Not available,Unknown Unknown Unknown Unknown Not provided Not available,unknown unknown unknown unknown provided available
Accounts Related Issue,Payment Query..,Not provided,Amount Related Query,Unknown,Unknown,Not available,Accounts Related Issue Payment Query.. Unknown Unknown Not provided Not available,account related issue payment query.. unknown unknown provided available
Unknown,Unknown,Not provided,Not available,Unknown,Unknown,Not available,Unknown Unknown Unknown Unknown Not provided Not available,unknown unknown unknown unknown provided available
Accounts Related Issue,Payment Query..,Not provided,Amount Related Query,Unknown,Unknown,Not available,Accounts Related Issue Payment Query.. Unknown Unknown Not provided Not available,account related issue payment query.. unknown unknown provided available
Unknown,Unknown,Not provided,Not available,Unknown,Unknown,Not available,Unknown Unknown Unknown Unknown Not provided Not available,unknown unknown unknown unknown provided available
Slow Internet Connection (FTTH),Current bandwidh lower than su..,Auto close by sub tt:10354569,Not available,Current bandwidh lower than subscribed,Field Support,suggest connected from 5g network and guide about 2.4g and 5g coverage and speed.,Slow Internet Connection (FTTH) Current bandwidh lower than su.. Current bandwidh lower than subscribed Field Support Auto close by sub tt:10354569 suggest connected from 5g network and guide about 2.4g and 5g coverage and speed.,slow internet connection (ftth) current bandwidh lower su.. current bandwidh lower subscribed field support auto close sub tt:10354569 suggest connected 5g network guide 2.4g 5g coverage speed.
Slow Internet Connection (FTTH),User connected beyond at 2.4Gh..,Auto close by sub tt:10240450,Not available,User connected beyond at 2.4Ghz coverage,Field Support,ping test latency seen//range issue seen//sugested to connect on range //router reposition//and suggested for sec router,Slow Internet Connection (FTTH) User connected beyond at 2.4Gh.. User connected beyond at 2.4Ghz coverage Field Support Auto close by sub tt:10240450 ping test latency seen//range issue seen//sugested to connect on range //router reposition//and suggested for sec router,slow internet connection (ftth) user connected beyond 2.4gh.. user connected beyond 2.4ghz coverage field support auto close sub tt:10240450 ping test latency seen//range issue seen//sugested connect range //router reposition//and suggested sec router
Online Gaming Issue,Free Fire Mobile..,Auto close by sub tt:10325759,Not available,Free Fire Mobile,Field Support,Not available,Online Gaming Issue Free Fire Mobile.. Free Fire Mobile Field Support Auto close by sub tt:10325759 Not available,online gaming issue free fire mobile.. free fire mobile field support auto close sub tt:10325759 available
Slow Internet Connection (FTTH),Low power level recorded [< -2..,Auto close by sub tt:10383571,Not available,Low power level recorded [< -26 dbm],Field Support,field visit assigned.,Slow Internet Connection (FTTH) Low power level recorded [< -2.. Low power level recorded [< -26 dbm] Field Support Auto close by sub tt:10383571 field visit assigned.,slow internet connection (ftth) low power level recorded [< -2.. low power level recorded [< -26 dbm] field support auto close sub tt:10383571 field visit assigned.
General Inquiry,Query about Wi-fi SSID/passwor..,Auto close by sub tt:10326126,Not available,Query about Wi-fi SSID/password,Field Support,client  verified through  reg number ,General Inquiry Query about Wi-fi SSID/passwor.. Query about Wi-fi SSID/password Field Support Auto close by sub tt:10326126 client  verified through  reg number ,general inquiry query wi-fi ssid/passwor.. query wi-fi ssid/password field support auto close sub tt:10326126 client verified reg number
General Inquiry,Query about Wi-fi SSID/passwor..,Auto close by sub tt:10323563,Not available,Query about Wi-fi SSID/password,Field Support,user verified and password changed,General Inquiry Query about Wi-fi SSID/passwor.. Query about Wi-fi SSID/password Field Support Auto close by sub tt:10323563 user verified and password changed,general inquiry query wi-fi ssid/passwor.. query wi-fi ssid/password field support auto close sub tt:10323563 user verified password changed
General Inquiry,Query about Wi-fi SSID/passwor..,Auto close by sub tt:10295285,Not available,Query about Wi-fi SSID/password,Field Support,Not available,General Inquiry Query about Wi-fi SSID/passwor.. Query about Wi-fi SSID/password Field Support Auto close by sub tt:10295285 Not available,general inquiry query wi-fi ssid/passwor.. query wi-fi ssid/password field support auto close sub tt:10295285 available
No Internet Connection (FTTH),ONU status offline..,Auto close by sub tt:10361695,Not available,ONU status offline,Field Support,done,No Internet Connection (FTTH) ONU status offline.. ONU status offline Field Support Auto close by sub tt:10361695 done,internet connection (ftth) onu status offline.. onu status offline field support auto close sub tt:10361695 done
General Inquiry,Technical Query..,Auto close by sub tt:10319159,Not available,Technical Query,Field Support,Not available,General Inquiry Technical Query.. Technical Query Field Support Auto close by sub tt:10319159 Not available,general inquiry technical query.. technical query field support auto close sub tt:10319159 available
General Inquiry,Client wants to add/replacerou..,Auto close by sub tt:10259715,Not available,Client wants to add/replacerouter,Field Support,Not available,General Inquiry Client wants to add/replacerou.. Client wants to add/replacerouter Field Support Auto close by sub tt:10259715 Not available,general inquiry client want add/replacerou.. client want add/replacerouter field support auto close sub tt:10259715 available
No Internet Connection (FTTH),No users online in Distributio..,Auto close by sub tt:10336871,Not available,No users online in Distribution/GPON,Field Support,Not available,No Internet Connection (FTTH) No users online in Distributio.. No users online in Distribution/GPON Field Support Auto close by sub tt:10336871 Not available,internet connection (ftth) user online distributio.. user online distribution/gpon field support auto close sub tt:10336871 available
No Internet Connection (FTTH),ONU status offline..,Auto close by sub tt:10277638,Not available,ONU status offline,Field Support,solve,No Internet Connection (FTTH) ONU status offline.. ONU status offline Field Support Auto close by sub tt:10277638 solve,internet connection (ftth) onu status offline.. onu status offline field support auto close sub tt:10277638 solve
No Internet Connection (FTTH),ONU status offline..,Auto close by sub tt:10269654,Not available,ONU status offline,Field Support,Not available,No Internet Connection (FTTH) ONU status offline.. ONU status offline Field Support Auto close by sub tt:10269654 Not available,internet connection (ftth) onu status offline.. onu status offline field support auto close sub tt:10269654 available
General Inquiry,Technical Query..,Auto close by sub tt:10316636,Not available,Technical Query,Field Support,call dc,General Inquiry Technical Query.. Technical Query Field Support Auto close by sub tt:10316636 call dc,general inquiry technical query.. technical query field support auto close sub tt:10316636 call dc
Slow Internet Connection (FTTH),Low power level recorded [< -2..,Auto close by sub tt:10281795,Not available,Low power level recorded [< -26 dbm],Field Support,Not available,Slow Internet Connection (FTTH) Low power level recorded [< -2.. Low power level recorded [< -26 dbm] Field Support Auto close by sub tt:10281795 Not available,slow internet connection (ftth) low power level recorded [< -2.. low power level recorded [< -26 dbm] field support auto close sub tt:10281795 available
Accounts Related Issue,Account Status Query..,Auto close by sub tt:10285923,Not available,Account Status Query,Field Support,Not available,Accounts Related Issue Account Status Query.. Account Status Query Field Support Auto close by sub tt:10285923 Not available,account related issue account status query.. account status query field support auto close sub tt:10285923 available
IPTV Related Issues,Blank Screen / No Signal..,Auto close by sub tt:10331464,Not available,Blank Screen / No Signal,Field Support,Not available,IPTV Related Issues Blank Screen / No Signal.. Blank Screen / No Signal Field Support Auto close by sub tt:10331464 Not available,iptv related issue blank screen / signal.. blank screen / signal field support auto close sub tt:10331464 available
No Internet Connection (FTTH),Disconnection problem..,Auto close by sub tt:10189050,Not available,Disconnection problem,Field Support,Not available,No Internet Connection (FTTH) Disconnection problem.. Disconnection problem Field Support Auto close by sub tt:10189050 Not available,internet connection (ftth) disconnection problem.. disconnection problem field support auto close sub tt:10189050 available
General Inquiry,Query about Wi-fi SSID/passwor..,Auto close by sub tt:10358073,Not available,Query about Wi-fi SSID/password,Field Support,Not available,General Inquiry Query about Wi-fi SSID/passwor.. Query about Wi-fi SSID/password Field Support Auto close by sub tt:10358073 Not available,general inquiry query wi-fi ssid/passwor.. query wi-fi ssid/password field support auto close sub tt:10358073 available
General Inquiry,Manage cable..,Auto close by sub tt:10317542,Not available,Manage cable,Field Support,Not available,General Inquiry Manage cable.. Manage cable Field Support Auto close by sub tt:10317542 Not available,general inquiry manage cable.. manage cable field support auto close sub tt:10317542 available
Accounts Related Issue,Online Payment Query..,Auto close by sub tt:10385860,Not available,Online Payment Query,Field Support,informed client about balance,Accounts Related Issue Online Payment Query.. Online Payment Query Field Support Auto close by sub tt:10385860 informed client about balance,account related issue online payment query.. online payment query field support auto close sub tt:10385860 informed client balance
Accounts Related Issue,Upgrade/Change Subscribed Pack..,Auto close by sub tt:10430096,Not available,Upgrade/Change Subscribed Package,Field Support,Not available,Accounts Related Issue Upgrade/Change Subscribed Pack.. Upgrade/Change Subscribed Package Field Support Auto close by sub tt:10430096 Not available,account related issue upgrade/change subscribed pack.. upgrade/change subscribed package field support auto close sub tt:10430096 available
Slow Internet Connection (FTTH),Difference between OLT Rx and ..,Auto close by sub tt:10259642,Not available,Difference between OLT Rx and Onu Rx is > 5dbm,Field Support,Not available,Slow Internet Connection (FTTH) Difference between OLT Rx and .. Difference between OLT Rx and Onu Rx is > 5dbm Field Support Auto close by sub tt:10259642 Not available,slow internet connection (ftth) difference olt rx .. difference olt rx onu rx > 5dbm field support auto close sub tt:10259642 available
Accounts Related Issue,Account extend request..,Auto close by sub tt:10263530,Not available,Account extend request,Field Support,Not available,Accounts Related Issue Account extend request.. Account extend request Field Support Auto close by sub tt:10263530 Not available,account related issue account extend request.. account extend request field support auto close sub tt:10263530 available
No Internet Connection (FTTH),ONU status offline..,Auto close by sub tt:10376695,Not available,ONU status offline,Field Support,Not available,No Internet Connection (FTTH) ONU status offline.. ONU status offline Field Support Auto close by sub tt:10376695 Not available,internet connection (ftth) onu status offline.. onu status offline field support auto close sub tt:10376695 available
Accounts Related Issue,Payment Query..,Auto close by sub tt:10282349,Not available,Payment Query,Field Support,Not available,Accounts Related Issue Payment Query.. Payment Query Field Support Auto close by sub tt:10282349 Not available,account related issue payment query.. payment query field support auto close sub tt:10282349 available
Slow Internet Connection (FTTH),Speed test fine. Slow experien..,Auto close by sub tt:10288851,Not available,Speed test fine. Slow experience on certain sites,Field Support,range fine//device ping fine//bandwidth fine//refresh done//speedtest fine//now working fine,Slow Internet Connection (FTTH) Speed test fine. Slow experien.. Speed test fine. Slow experience on certain sites Field Support Auto close by sub tt:10288851 range fine//device ping fine//bandwidth fine//refresh done//speedtest fine//now working fine,slow internet connection (ftth) speed test fine. slow experien.. speed test fine. slow experience certain site field support auto close sub tt:10288851 range fine//device ping fine//bandwidth fine//refresh done//speedtest fine//now working fine
No Internet Connection (FTTH),ONU status offline..,Auto close by sub tt:10319064,Not available,ONU status offline,Field Support,Not available,No Internet Connection (FTTH) ONU status offline.. ONU status offline Field Support Auto close by sub tt:10319064 Not available,internet connection (ftth) onu status offline.. onu status offline field support auto close sub tt:10319064 available
Accounts Related Issue,IPTV Related Issues...,Auto close by sub tt:10416668,Not available,IPTV Related Issues.,Field Support,provided req information about installation of nettv,Accounts Related Issue IPTV Related Issues... IPTV Related Issues. Field Support Auto close by sub tt:10416668 provided req information about installation of nettv,account related issue iptv related issues... iptv related issues. field support auto close sub tt:10416668 provided req information installation nettv
IPTV Related Issues,NetTV bonus not added after pa..,Auto close by sub tt:10401572,Not available,NetTV bonus not added after payment,Field Support,package add vako raheynxa //add gareo,IPTV Related Issues NetTV bonus not added after pa.. NetTV bonus not added after payment Field Support Auto close by sub tt:10401572 package add vako raheynxa //add gareo,iptv related issue nettv bonus added pa.. nettv bonus added payment field support auto close sub tt:10401572 package add vako raheynxa //add gareo
