PROBLEM TYPE NAME,PROBLEM,ADDITIONAL INFO,SOLUTION,ACTUAL PROBLEM,SUPPORT TYPE,SOLVED COMMENT,combined_text,cleaned_combined_text
Accounts Related Issue,Account extend request..,Auto close by sub tt:10236937,Not available,Account extend request,Field Support,3 days extended as per client requested,Accounts Related Issue Account extend request.. Account extend request Field Support Auto close by sub tt:10236937 3 days extended as per client requested,account related issue account extend request.. account extend request field support auto close sub tt:10236937 3 day extended per client requested
No Internet Connection (FTTH),ONU status offline..,Auto close by sub tt:10265238,Not available,ONU status offline,Field Support,Not available,No Internet Connection (FTTH) ONU status offline.. ONU status offline Field Support Auto close by sub tt:10265238 Not available,internet connection (ftth) onu status offline.. onu status offline field support auto close sub tt:10265238 available
IPTV Related Issues,NET TV mobile app related..,Auto close by sub tt:10306856,Not available,NET TV mobile app related,Field Support,suggested to check after a while,IPTV Related Issues NET TV mobile app related.. NET TV mobile app related Field Support Auto close by sub tt:10306856 suggested to check after a while,iptv related issue net tv mobile app related.. net tv mobile app related field support auto close sub tt:10306856 suggested check
Accounts Related Issue,Account extend request..,Auto close by sub tt:10322547,Not available,Account extend request,Field Support,for 3 days,Accounts Related Issue Account extend request.. Account extend request Field Support Auto close by sub tt:10322547 for 3 days,account related issue account extend request.. account extend request field support auto close sub tt:10322547 3 day
General Inquiry,The client wants a house visit..,Auto close by sub tt:10389617,Not available,The client wants a house visit.,Field Support,Not available,General Inquiry The client wants a house visit.. The client wants a house visit. Field Support Auto close by sub tt:10389617 Not available,general inquiry client want house visit.. client want house visit. field support auto close sub tt:10389617 available
Accounts Related Issue,Upgrade/Change Subscribed Pack..,Auto close by sub tt:10278569,Not available,Upgrade/Change Subscribed Package,Field Support,client is not at home,Accounts Related Issue Upgrade/Change Subscribed Pack.. Upgrade/Change Subscribed Package Field Support Auto close by sub tt:10278569 client is not at home,account related issue upgrade/change subscribed pack.. upgrade/change subscribed package field support auto close sub tt:10278569 client home
Slow Internet Connection (FTTH),File upload issue..,Auto close by sub tt:10402836,Not available,File upload issue,Field Support,Not available,Slow Internet Connection (FTTH) File upload issue.. File upload issue Field Support Auto close by sub tt:10402836 Not available,slow internet connection (ftth) file upload issue.. file upload issue field support auto close sub tt:10402836 available
Accounts Related Issue,Online Payment Query..,Auto close by sub tt:10370422,Not available,Online Payment Query,Field Support,informed accordingly,Accounts Related Issue Online Payment Query.. Online Payment Query Field Support Auto close by sub tt:10370422 informed accordingly,account related issue online payment query.. online payment query field support auto close sub tt:10370422 informed accordingly
Slow Internet Connection (FTTH),Too many users connected..,Auto close by sub tt:10279926,Not available,Too many users connected,Field Support,called multiple times  call not received ,Slow Internet Connection (FTTH) Too many users connected.. Too many users connected Field Support Auto close by sub tt:10279926 called multiple times  call not received ,slow internet connection (ftth) many user connected.. many user connected field support auto close sub tt:10279926 called multiple time call received
Slow Internet Connection (FTTH),Everything seems slow at clien..,Auto close by sub tt:10339721,Not available,Everything seems slow at client end devices.,Field Support,Not available,Slow Internet Connection (FTTH) Everything seems slow at clien.. Everything seems slow at client end devices. Field Support Auto close by sub tt:10339721 Not available,slow internet connection (ftth) everything seems slow clien.. everything seems slow client end devices. field support auto close sub tt:10339721 available
