SEVERITY NAME,ISSUED BY,PROBLEM TYPE NAME,PROBLEM,SOLVED BY,CSR GROUP,ADDITIONAL INFO,SOLUTION,ACTUAL PROBLEM,SUPPORT TYPE,SUPPORT ZONE,ISSUED BY GROUP,SOLVED COMMENT,PLANCAT TYPE,,,
Full Service Affected,sargam.rai,General Inquiry,Manage cable..,sargam.rai,Desk Sales Staffs,,Shifted router from one floor to another.,Manage cable,Follow Up,DHUNGEDHARA,Desk Sales Staffs,,ATL,,,
Full Service Affected,sudip.tamang,Accounts Related Issue,Payment Query..,ranjana.humagain,Account,,Guided branch office location.,Payment Query,Phone Support,KALABANZAR,Phone Support CSR,done,BTL,,,
Full Service Affected,sujana.maharjan,Accounts Related Issue,Payment Query..,ranjana.humagain,Account,,Guided branch office location.,Payment Query,Phone Support,KALABANZAR,Sales Call Center,dine,BTL,,,
Full Service Affected,karishma.yadav,Accounts Related Issue,Payment Query..,ranjana.humagain,Account,,Guided branch office location.,Payment Query,Phone Support,KALABANZAR,Phone Support CSR,done,BTL,,,
Full Service Affected,sargam.rai,General Inquiry,Client wants to upgrade to 5G ..,sargam.rai,Desk Sales Staffs,,Client already had Dual Band Router,Client wants to upgrade to 5G plan,Phone Support,DHUNGEDHARA,Desk Sales Staffs,,ATL,,,
Full Service Affected,riddhik.acharya,Accounts Related Issue,Query regarding Service Termin..,sabita.upreti,Account,,TT issued to concerned,Query regarding Service Termination,Desk Support,PEPSICOLA,Phone Support CSR,uninstalled done already,ATL,,,
Full Service Affected,ramesh.wod,Accounts Related Issue,Query regarding Service Termin..,sabita.upreti,Account,,TT issued to concerned,Query regarding Service Termination,Desk Support,PEPSICOLA,Phone Support CSR,,ATL,,,
Full Service Affected,saloni.shrestha,Accounts Related Issue,Query regarding Service Termin..,ranjana.parajuli,Customer Care Unit,,TT issued to concerned,Query regarding Service Termination,Desk Support,PEPSICOLA,Phone Support CSR,already uninstalled,ATL,,,
Full Service Affected,sumit.bajracharya,Accounts Related Issue,Query regarding Service Termin..,kritina.shivabhakti,Account,,TT issued to concerned,Query regarding Service Termination,Phone Support,REGION3-NBU1,Online Support,,ATL,,,
Full Service Affected,milan.bishankhe,No Internet Connection (FTTH),No users online in Distributio..,parajuli.aashish,Phone Support L-2 Group,,Offline due to power outage.,No users online in Distribution/GPON,Phone Support,MANAHARI,Phone Support CSR,,BTL,,,
Full Service Affected,sargam.rai,No Internet Connection (FTTH),Disconnection problem..,sujan.maharjan,L2-FSCC,,Re-initialization done,Disconnection problem,Phone Support,DHUNGEDHARA,Desk Sales Staffs,,ATL,,,
Full Service Affected,admin,Slow Internet Connection (FTTH),Low power level recorded [< -2..,rojan.thapa,Phone Support CSR,optical power level is low(-26 dbm)please do need#l asap,Fiber cable managed ,Low power level recorded [< -26 dbm],Phone Support,IMADOL,Phone Support CSR,,BTL,,,
Full Service Affected,admin,Slow Internet Connection (FTTH),Low power level recorded [< -2..,rojan.thapa,Phone Support CSR,optical power level is low(-26 dbm)please do need#l asap,Fiber cable managed ,Low power level recorded [< -26 dbm],Phone Support,IMADOL,Phone Support CSR,,ATL,,,
Full Service Affected,admin,Slow Internet Connection (FTTH),Low power level recorded [< -2..,rojan.thapa,Phone Support CSR,optical power level is low(-26 dbm)please do need#l asap,Fiber cable managed ,Low power level recorded [< -26 dbm],Phone Support,IMADOL,Phone Support CSR,,ATL,,,
Full Service Affected,sachin.mali,Accounts Related Issue,Account Status Query..,punita.sah,Account,,Account Renewed.,Account Status Query,Desk Support,BARDAGHAT,Phone Support CSR,,BTL,,,
Full Service Affected,rubi.darlami,Accounts Related Issue,Account extend request..,ranjana.humagain,Account,,Account extended,Account extend request,Phone Support,KALABANZAR,Phone Support CSR,done,BTL,,,
Full Service Affected,srijana.sunar5,Accounts Related Issue,Account Disabled..,srijana.sunar5,Account,,Call transferred to Accounts,Account Disabled,Phone Support,RASTRABANKCHOWK,Account,close,ATL,,,
Full Service Affected,nishant.sunuwar,General Inquiry,Need to replace beacon..,narayan.gharti,Phone Support CSR,,Beacon replaced,Need to replace beacon,Phone Support,CHITWAN,Phone Support Follow up Team,,BTL,,,
Full Service Affected,manraj.jaisi,Accounts Related Issue,Payment Query..,shital.shah,Account,,Informed client about the Days remaining,Payment Query,Desk Support,BANSBARI,D2D Marketing,mistakenly opened,BTL,,,
Full Service Affected,pranish.khadka,Accounts Related Issue,Query about Packages..,chanika.shrestha,Account,,Same month payment query,Query about Packages,Follow Up,HETAUDA,Phone Support CSR,,BTL,,,
Full Service Affected,abhishek.pokhrel,Accounts Related Issue,Query about Packages..,chanika.shrestha,Account,,Same month payment query,Query about Packages,Follow Up,HETAUDA,Phone Support CSR,,BTL,,,
Full Service Affected,ranjitkumar.bhlon,General Inquiry,Client is interested for Beaco..,rewant.lama,L2-FSCC,Client wants Trial Beacon,Trial Beacon installed. ,Client is interested for Beacon Trial.,Phone Support,KIRTIPUR,Field Team,,ATL,,,
Full Service Affected,suraj.adhikari,General Inquiry,Client is interested for Beaco..,rojan.thapa,Phone Support CSR,Client wants Trial Beacon,Trial Beacon installed. ,Client is interested for Beacon Trial.,Phone Support,IMADOL,Field Team,,ATL,,,
Full Service Affected,bikash.rana1,General Inquiry,Client is interested for Beaco..,durga.jaisi,Account,Client wants Trial Beacon,Trial Beacon installed. ,Client is interested for Beacon Trial.,Desk Support,KHAIRENI,Field Support CSR,package change,BTL,,,
Full Service Affected,sujan.nepali03,General Inquiry,Client is interested for Beaco..,durga.jaisi,Account,Client wants Trial Beacon,Trial Beacon installed. ,Client is interested for Beacon Trial.,Desk Support,KHAIRENI,Field Team,few days,BTL,,,
Full Service Affected,achal.rai,No Internet Connection (FTTH),ONU status offline..,tirtharaj.bohara,Phone Support CSR,,ONU router was switched off. Now switched on. ,ONU status offline,Phone Support,CHITWAN,Field Support CSR,old tt closed.,WIFI,,,
Full Service Affected,parajuli.aashish,No Internet Connection (FTTH),Username Not Mapped in OLT..,rojan.thapa,Phone Support CSR,,Remapping done,Username Not Mapped in OLT,Phone Support,IMADOL,Phone Support L-2 Group,,ATL,,,
Full Service Affected,achal.rai,Hotspot Related Issues (WiFi Project),IgniteNet Status Offline..,narayan.gharti,Phone Support CSR,,Ignitenet resetted ,IgniteNet Status Offline,Phone Support,CHITWAN,Field Support CSR,,WIFI,,,
Full Service Affected,aayush.bajracharya,IPTV Related Issues,Error Code 1598:No internet co..,narayan.gharti,Phone Support CSR,,Ethernet plugged into the ONU/STB.,Error Code 1598:No internet connection,Phone Support,CHITWAN,Phone Support Follow up Team,,BTL,,,
Full Service Affected,dipesh.maharjan1,Accounts Related Issue,Query about Packages..,durga.jaisi,Account,,Amount Related Query,Query about Packages,Desk Support,KHAIRENI,Phone Support CSR,done,BTL,,,
